date,product,unit price,units sold,sales price
2019-04-01,Khaki Pants,89.0,1,89.0
2019-04-01,Button-Down Shirt,65.05,1,65.05
2019-04-01,Vintage Logo Tee,15.95,2,31.9
2019-04-01,Sticker Pack,4.5,1,4.5
2019-04-02,Khaki Pants,89.0,1,89.0
2019-04-02,Super Soft Hoodie,75.0,1,75.0
2019-04-02,Button-Down Shirt,65.05,3,195.15
2019-04-02,Vintage Logo Tee,15.95,2,31.9
2019-04-03,Super Soft Hoodie,75.0,1,75.0
2019-04-03,Button-Down Shirt,65.05,4,260.2
2019-04-03,Vintage Logo Tee,15.95,3,47.85
2019-04-03,Sticker Pack,4.5,3,13.5
2019-04-04,Super Soft Hoodie,75.0,1,75.0
2019-04-04,Button-Down Shirt,65.05,3,195.15
2019-04-04,Sticker Pack,4.5,2,9.0
2019-04-05,Super Soft Hoodie,75.0,2,150.0
2019-04-05,Button-Down Shirt,65.05,3,195.15
2019-04-05,Baseball Cap,22.33,1,22.33
2019-04-05,Vintage Logo Tee,15.95,5,79.75
2019-04-05,Sticker Pack,4.5,2,9.0
2019-04-06,Khaki Pants,89.0,1,89.0
2019-04-06,Super Soft Hoodie,75.0,1,75.0
2019-04-06,Button-Down Shirt,65.05,9,585.45
2019-04-06,Baseball Cap,22.33,1,22.33
2019-04-06,Sticker Pack,4.5,3,13.5
2019-04-07,Button-Down Shirt,65.05,3,195.15
2019-04-07,Baseball Cap,22.33,1,22.33
2019-04-07,Vintage Logo Tee,15.95,4,63.8
2019-04-07,Sticker Pack,4.5,1,4.5
2019-04-08,Super Soft Hoodie,75.0,1,75.0
2019-04-08,Button-Down Shirt,65.05,3,195.15
2019-04-08,Sticker Pack,4.5,1,4.5
2019-04-09,Khaki Pants,89.0,1,89.0
2019-04-09,Super Soft Hoodie,75.0,1,75.0
2019-04-09,Button-Down Shirt,65.05,1,65.05
2019-04-09,Sticker Pack,4.5,1,4.5
2019-04-10,Button-Down Shirt,65.05,1,65.05
2019-04-10,Vintage Logo Tee,15.95,2,31.9
2019-04-10,Sticker Pack,4.5,1,4.5
2019-04-11,Khaki Pants,89.0,1,89.0
2019-04-11,Button-Down Shirt,65.05,1,65.05
2019-04-11,Vintage Logo Tee,15.95,1,15.95
2019-04-11,Sticker Pack,4.5,2,9.0
2019-04-12,Khaki Pants,89.0,2,178.0
2019-04-12,Super Soft Hoodie,75.0,1,75.0
2019-04-12,Button-Down Shirt,65.05,2,130.1
2019-04-12,Vintage Logo Tee,15.95,4,63.8
2019-04-12,Sticker Pack,4.5,2,9.0
2019-04-13,Super Soft Hoodie,75.0,1,75.0
2019-04-13,Button-Down Shirt,65.05,7,455.35
2019-04-13,Baseball Cap,22.33,1,22.33
2019-04-13,Vintage Logo Tee,15.95,2,31.9
2019-04-14,Brown Boots,125.0,1,125.0
2019-04-14,Button-Down Shirt,65.05,2,130.1
2019-04-14,Vintage Logo Tee,15.95,2,31.9
2019-04-14,Sticker Pack,4.5,4,18.0
2019-04-15,Khaki Pants,89.0,1,89.0
2019-04-15,Super Soft Hoodie,75.0,1,75.0
2019-04-15,Button-Down Shirt,65.05,1,65.05
2019-04-15,Sticker Pack,4.5,1,4.5
2019-04-16,Khaki Pants,89.0,1,89.0
2019-04-16,Button-Down Shirt,65.05,3,195.15
2019-04-16,Vintage Logo Tee,15.95,3,47.85
2019-04-16,Sticker Pack,4.5,2,9.0
2019-04-17,Button-Down Shirt,65.05,1,65.05
2019-04-17,Vintage Logo Tee,15.95,2,31.9
2019-04-17,Sticker Pack,4.5,2,9.0
2019-04-18,Khaki Pants,89.0,1,89.0
2019-04-18,Super Soft Hoodie,75.0,1,75.0
2019-04-18,Sticker Pack,4.5,1,4.5
2019-04-19,Super Soft Hoodie,75.0,2,150.0
2019-04-19,Button-Down Shirt,65.05,1,65.05
2019-04-19,Vintage Logo Tee,15.95,2,31.9
2019-04-19,Sticker Pack,4.5,2,9.0
2019-04-20,Khaki Pants,89.0,1,89.0
2019-04-20,Super Soft Hoodie,75.0,1,75.0
2019-04-20,Baseball Cap,22.33,1,22.33
2019-04-20,Sticker Pack,4.5,5,22.5
2019-04-21,Super Soft Hoodie,75.0,2,150.0
2019-04-21,Button-Down Shirt,65.05,8,520.4
2019-04-21,Vintage Logo Tee,15.95,1,15.95
2019-04-21,Sticker Pack,4.5,3,13.5
2019-04-22,Khaki Pants,89.0,1,89.0
2019-04-22,Button-Down Shirt,65.05,3,195.15
2019-04-22,Vintage Logo Tee,15.95,3,47.85
2019-04-22,Sticker Pack,4.5,2,9.0
